case,event,startTime,completeTime
10002357,01_HOOFD_010,2014/8/5 6:00,2014/8/5 6:00
10002357,04_BPT_005,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_065_0,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_090,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_110_0,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_180,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_011,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_020,2014/8/6 6:00,2014/8/6 6:00
10002357,02_DRZ_010,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_065_1,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_015,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_061,2014/8/6 6:00,2014/8/6 6:00
10002357,01_HOOFD_065_2,2014/8/6 14:37,2014/8/6 14:37
10002357,01_HOOFD_200,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_250_0,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_330,2014/8/19 6:00,2014/8/19 6:00
10002357,09_AH_I_010,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_380,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_430,2014/8/19 6:00,2014/8/19 6:00
10002357,11_AH_II_010,2014/8/19 6:00,2014/8/19 6:00
10002357,13_CRD_010,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_480,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_490_2,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_491,2014/8/19 6:00,2014/8/19 6:00
10002357,08_AWB45_005,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_494a,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_490_1a,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_490_1,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_375,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_195,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_490_4,2014/8/19 6:00,2014/8/19 6:00
10002357,01_HOOFD_500,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_510_0,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_490_5,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_495,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_490_5a,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_510_1,2014/8/20 6:00,2014/8/20 6:00
10002357,01_HOOFD_510_2,2014/8/21 6:00,2014/8/21 6:00
10002357,01_HOOFD_510_3,2014/8/21 6:00,2014/8/21 6:00
10002357,01_HOOFD_510_2a,2014/8/21 6:00,2014/8/21 6:00
10002357,01_HOOFD_510_4,2014/8/21 6:00,2014/8/21 6:00
10002357,01_HOOFD_515,2014/8/21 6:00,2014/8/21 6:00
10002357,01_BB_540,2014/10/7 6:00,2014/10/7 6:00
10002357,01_BB_775,2014/10/7 6:00,2014/10/7 6:00
10002357,01_HOOFD_811,2014/10/7 6:00,2014/10/7 6:00
10002357,01_BB_770,2014/10/7 17:55,2014/10/7 17:55
10003250,01_HOOFD_010,2014/8/5 6:00,2014/8/5 6:00
10003250,01_HOOFD_011,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_020,2014/8/6 6:00,2014/8/6 6:00
10003250,02_DRZ_010,2014/8/6 6:00,2014/8/6 6:00
10003250,04_BPT_005,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_065_0,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_090,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_110_0,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_180,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_065_1,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_015,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_061,2014/8/6 6:00,2014/8/6 6:00
10003250,01_HOOFD_065_2,2014/8/6 15:35,2014/8/6 15:35
10044776,01_HOOFD_011,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_020,2014/8/14 6:00,2014/8/14 6:00
10044776,02_DRZ_010,2014/8/14 6:00,2014/8/14 6:00
10044776,04_BPT_005,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_065_0,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_090,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_110_0,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_180,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_015,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_010,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_065_1,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_061,2014/8/14 6:00,2014/8/14 6:00
10044776,01_HOOFD_065_2,2014/8/14 18:00,2014/8/14 18:00
10069611,01_HOOFD_010,2014/8/19 6:00,2014/8/19 6:00
10069611,01_HOOFD_012,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_020,2014/8/20 6:00,2014/8/20 6:00
10069611,02_DRZ_010,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_005,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_009,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_020,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_030,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_065_0,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_029,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_015,2014/8/20 6:00,2014/8/20 6:00
10069611,04_BPT_021,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_065_1,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_030_1,2014/8/20 6:00,2014/8/20 6:00
10069611,01_HOOFD_030_2,2014/8/20 16:27,2014/8/20 16:27
10069611,01_HOOFD_065_2,2014/8/20 16:32,2014/8/20 16:32
10069611,01_HOOFD_065_2,2014/8/20 16:32,2014/8/20 16:32
10069611,01_HOOFD_110_0,2014/9/17 6:00,2014/9/17 6:00
10069611,01_HOOFD_180,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_005,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_010,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_020_0,2014/9/17 6:00,2014/9/17 6:00
10069611,01_HOOFD_090,2014/9/17 6:00,2014/9/17 6:00
10069611,08_OLO_100,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_025,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_020_1,2014/9/17 6:00,2014/9/17 6:00
10069611,08_AWB45_020_2,2014/9/17 19:12,2014/9/17 19:12
10069611,08_AWB45_020_2,2014/9/17 19:12,2014/9/17 19:12
10069611,08_AWB45_030,2014/11/13 7:00,2014/11/13 7:00
10069611,08_AWB45_051_0,2014/11/13 7:00,2014/11/13 7:00
10069611,08_AWB45_040,2014/11/13 7:00,2014/11/13 7:00
10069611,08_AWB45_045,2014/11/13 7:00,2014/11/13 7:00
10069611,08_AWB45_040,2014/11/13 20:38,2014/11/13 20:38
10069611,08_AWB45_005,2015/1/29 7:00,2015/1/29 7:00
10069611,01_HOOFD_196,2015/1/29 7:00,2015/1/29 7:00
10069611,01_HOOFD_200,2015/1/29 7:00,2015/1/29 7:00
