case,event,startTime,completeTime
10009138,01_HOOFD_010,2014/4/11 6:00,2014/4/11 6:00
10009138,01_HOOFD_011,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_020,2014/4/14 6:00,2014/4/14 6:00
10009138,02_DRZ_010,2014/4/14 6:00,2014/4/14 6:00
10009138,04_BPT_005,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_065_0,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_110_0,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_100_0,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_015,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_061,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_101,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_030_1,2014/4/14 6:00,2014/4/14 6:00
10009138,01_HOOFD_030_2,2014/4/14 15:37,2014/4/14 15:37
10009138,08_AWB45_005,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_200,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_330,2014/5/20 6:00,2014/5/20 6:00
10009138,09_AH_I_010,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_380,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_430,2014/5/20 6:00,2014/5/20 6:00
10009138,11_AH_II_010,2014/5/20 6:00,2014/5/20 6:00
10009138,13_CRD_010,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_480,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_490_2,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_491,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_180,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_494a,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_490_4,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_195,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_375,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_490_1,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_250_1,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_370,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_250_2,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_490_1a,2014/5/20 6:00,2014/5/20 6:00
10009138,01_HOOFD_500,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_510_0,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_510_1,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_490_5,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_510_3,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_490_5a,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_495,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_510_4,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_515,2014/6/4 6:00,2014/6/4 6:00
10009138,01_HOOFD_510_2,2014/6/5 6:00,2014/6/5 6:00
10009138,01_HOOFD_510_2a,2014/6/5 6:00,2014/6/5 6:00
10051383,01_HOOFD_065_0,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_110_0,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_100_0,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_011,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_020,2014/4/17 6:00,2014/4/17 6:00
10051383,02_DRZ_010,2014/4/17 6:00,2014/4/17 6:00
10051383,04_BPT_005,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_010,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_061,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_015,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_030_1,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_101,2014/4/17 6:00,2014/4/17 6:00
10051383,01_HOOFD_030_2,2014/4/17 20:38,2014/4/17 20:38
10051383,08_AWB45_005,2014/5/27 6:00,2014/5/27 6:00
10051383,08_AWB45_010,2014/5/27 6:00,2014/5/27 6:00
10051383,08_AWB45_020_0,2014/5/27 6:00,2014/5/27 6:00
10051383,01_HOOFD_180,2014/5/27 6:00,2014/5/27 6:00
10051383,08_AWB45_020_1,2014/5/27 6:00,2014/5/27 6:00
10051383,08_AWB45_025,2014/5/27 6:00,2014/5/27 6:00
10051383,08_AWB45_020_2,2014/5/27 20:36,2014/5/27 20:36
10051383,08_AWB45_030,2014/6/6 6:00,2014/6/6 6:00
10051383,08_AWB45_040,2014/6/13 6:00,2014/6/13 6:00
10051383,08_AWB45_045,2014/6/13 6:00,2014/6/13 6:00
10051383,01_HOOFD_193,2014/6/16 6:00,2014/6/16 6:00
10051383,08_AWB45_051_0,2014/6/16 6:00,2014/6/16 6:00
10051383,01_HOOFD_196,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_200,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_330,2014/6/24 6:00,2014/6/24 6:00
10051383,09_AH_I_010,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_380,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_430,2014/6/24 6:00,2014/6/24 6:00
10051383,11_AH_II_010,2014/6/24 6:00,2014/6/24 6:00
10051383,13_CRD_010,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_480,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_490_2,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_491,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_500,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_510_0,2014/6/24 6:00,2014/6/24 6:00
10051383,08_AWB45_005,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_510_4,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_495,2014/6/24 6:00,2014/6/24 6:00
10051383,01_HOOFD_375,2014/6/24 6:00,2014/6/24 6:00
