case,event,startTime,completeTime
Case1,A10,1970/12/3 0:47,1970/12/3 0:47
Case1,A1,2009/10/22 0:08,2009/10/22 0:08
Case1,A2,2009/10/22 0:08,2009/10/22 0:08
Case1,A3,2009/10/22 0:08,2009/10/22 0:08
Case1,A4,2009/10/22 0:09,2009/10/22 0:09
Case1,A5,2009/10/22 14:06,2009/10/22 14:06
Case1,A6,2009/10/22 14:06,2009/10/22 14:06
Case1,A7,2009/10/27 16:16,2009/10/27 16:16
Case1,A8,2009/11/2 6:00,2009/11/2 6:00
Case1,A9,2009/11/2 6:00,2009/11/2 6:00
Case2,A10,1970/12/3 0:47,1970/12/3 0:47
Case2,A1,2009/6/8 21:01,2009/6/8 21:01
Case2,A2,2009/6/8 21:01,2009/6/8 21:01
Case2,A3,2009/6/8 21:01,2009/6/8 21:01
Case2,A4,2009/6/8 21:45,2009/6/8 21:45
Case2,A5,2009/6/8 22:23,2009/6/8 22:23
Case2,A6,2009/6/8 22:23,2009/6/8 22:23
Case2,A7,2009/6/8 22:26,2009/6/8 22:26
Case2,A8,2009/6/14 5:07,2009/6/14 5:07
Case2,A9,2009/6/14 5:07,2009/6/14 5:07
Case3,A10,1970/12/3 0:47,1970/12/3 0:47
Case3,A1,2008/5/7 16:27,2008/5/7 16:27
Case3,A2,2008/5/7 16:27,2008/5/7 16:27
Case3,A3,2008/5/7 16:27,2008/5/7 16:27
Case3,A4,2008/5/7 16:28,2008/5/7 16:28
Case3,A5,2008/5/7 16:54,2008/5/7 16:54
Case3,A6,2008/5/7 16:54,2008/5/7 16:54
Case3,A7,2008/5/7 17:01,2008/5/7 17:01
Case3,A8,2008/5/13 5:04,2008/5/13 5:04
Case3,A9,2008/5/13 5:04,2008/5/13 5:04
Case4,A10,1970/12/3 0:47,1970/12/3 0:47
Case4,A1,2008/11/25 19:00,2008/11/25 19:00
Case4,A2,2008/11/25 19:00,2008/11/25 19:00
Case4,A3,2008/11/25 19:00,2008/11/25 19:00
Case4,A11,2008/11/25 19:01,2008/11/25 19:01
Case4,A5,2008/11/25 19:20,2008/11/25 19:20
Case4,A6,2008/11/25 19:20,2008/11/25 19:20
Case4,A1,2008/11/25 19:34,2008/11/25 19:34
Case4,A6,2008/11/25 19:34,2008/11/25 19:34
Case4,A12,2008/11/25 19:34,2008/11/25 19:34
Case4,A5,2008/11/25 19:36,2008/11/25 19:36
Case4,A6,2008/11/25 19:36,2008/11/25 19:36
Case4,A1,2008/11/25 19:42,2008/11/25 19:42
Case4,A6,2008/11/25 19:42,2008/11/25 19:42
Case4,A4,2008/11/25 19:42,2008/11/25 19:42
Case4,A5,2008/11/25 19:44,2008/11/25 19:44
Case4,A6,2008/11/25 19:44,2008/11/25 19:44
Case4,A7,2008/11/26 16:04,2008/11/26 16:04
Case4,A8,2008/12/2 6:02,2008/12/2 6:02
Case4,A9,2008/12/2 6:02,2008/12/2 6:02
Case5,A10,1970/12/3 0:47,1970/12/3 0:47
Case5,A1,2008/2/7 23:23,2008/2/7 23:23
Case5,A2,2008/2/7 23:23,2008/2/7 23:23
Case5,A3,2008/2/7 23:23,2008/2/7 23:23
Case5,A4,2008/2/7 23:27,2008/2/7 23:27
Case5,A5,2008/2/8 15:12,2008/2/8 15:12
Case5,A6,2008/2/8 15:12,2008/2/8 15:12
Case5,A7,2008/2/8 22:53,2008/2/8 22:53
Case5,A8,2008/2/14 6:04,2008/2/14 6:04
Case5,A9,2008/2/14 6:04,2008/2/14 6:04
Case6,A10,1970/12/3 0:47,1970/12/3 0:47
Case6,A1,2009/2/25 23:10,2009/2/25 23:10
Case6,A2,2009/2/25 23:10,2009/2/25 23:10
Case6,A3,2009/2/25 23:10,2009/2/25 23:10
Case6,A4,2009/2/25 23:11,2009/2/25 23:11
Case6,A5,2009/2/25 23:14,2009/2/25 23:14
Case6,A6,2009/2/25 23:14,2009/2/25 23:14
Case6,A7,2009/2/26 15:18,2009/2/26 15:18
Case6,A8,2009/3/4 6:02,2009/3/4 6:02
Case6,A9,2009/3/4 6:02,2009/3/4 6:02
Case7,A10,1970/12/3 0:47,1970/12/3 0:47
Case7,A1,2008/9/3 13:15,2008/9/3 13:15
Case7,A2,2008/9/3 13:15,2008/9/3 13:15
Case7,A3,2008/9/3 13:15,2008/9/3 13:15
Case7,A4,2008/9/3 13:17,2008/9/3 13:17
Case7,A5,2008/9/3 14:44,2008/9/3 14:44
Case7,A6,2008/9/3 14:44,2008/9/3 14:44
Case7,A7,2008/9/3 15:36,2008/9/3 15:36
Case7,A8,2008/9/9 5:03,2008/9/9 5:03
Case7,A9,2008/9/9 5:03,2008/9/9 5:03
Case8,A10,1970/12/3 0:47,1970/12/3 0:47
Case8,A1,2008/6/24 16:44,2008/6/24 16:44
Case8,A2,2008/6/24 16:44,2008/6/24 16:44
Case8,A3,2008/6/24 16:44,2008/6/24 16:44
Case8,A4,2008/6/24 16:45,2008/6/24 16:45
Case8,A5,2008/6/24 16:48,2008/6/24 16:48
Case8,A6,2008/6/24 16:48,2008/6/24 16:48
Case8,A7,2008/6/24 16:48,2008/6/24 16:48
Case8,A1,2008/6/24 17:23,2008/6/24 17:23
Case8,A6,2008/6/24 17:23,2008/6/24 17:23
Case8,A5,2008/6/24 17:30,2008/6/24 17:30
Case8,A6,2008/6/24 17:30,2008/6/24 17:30
Case8,A7,2008/6/24 17:38,2008/6/24 17:38
Case8,A8,2008/6/30 5:03,2008/6/30 5:03
Case8,A9,2008/6/30 5:03,2008/6/30 5:03
Case9,A10,1970/12/3 0:47,1970/12/3 0:47
Case9,A1,2008/6/9 20:40,2008/6/9 20:40
Case9,A2,2008/6/9 20:40,2008/6/9 20:40
Case9,A3,2008/6/9 20:40,2008/6/9 20:40
Case9,A4,2008/6/9 20:41,2008/6/9 20:41
Case9,A5,2008/6/10 16:26,2008/6/10 16:26
Case9,A6,2008/6/10 16:26,2008/6/10 16:26
Case9,A7,2008/6/10 16:40,2008/6/10 16:40
Case9,A8,2008/6/16 5:01,2008/6/16 5:01
Case9,A9,2008/6/16 5:01,2008/6/16 5:01
Case10,A10,1970/12/3 0:47,1970/12/3 0:47
Case10,A1,2008/5/6 16:37,2008/5/6 16:37
Case10,A2,2008/5/6 16:37,2008/5/6 16:37
Case10,A3,2008/5/6 16:37,2008/5/6 16:37
Case10,A13,2008/5/6 16:38,2008/5/6 16:38
Case10,A5,2008/5/6 17:01,2008/5/6 17:01
Case10,A6,2008/5/6 17:01,2008/5/6 17:01
Case10,A7,2008/5/27 22:23,2008/5/27 22:23
Case10,A8,2008/6/2 5:00,2008/6/2 5:00
Case10,A9,2008/6/2 5:00,2008/6/2 5:00
Case11,A10,1970/12/3 0:47,1970/12/3 0:47
Case11,A1,2008/2/11 16:49,2008/2/11 16:49
Case11,A2,2008/2/11 16:49,2008/2/11 16:49
Case11,A3,2008/2/11 16:49,2008/2/11 16:49
Case11,A4,2008/2/11 16:50,2008/2/11 16:50
Case11,A5,2008/2/11 16:56,2008/2/11 16:56
Case11,A6,2008/2/11 16:56,2008/2/11 16:56
Case11,A14,2008/2/11 17:01,2008/2/11 17:01
Case11,A15,2008/2/11 17:01,2008/2/11 17:01
Case11,A7,2008/3/7 14:21,2008/3/7 14:21
Case11,A16,2008/3/7 14:21,2008/3/7 14:21
Case11,A8,2008/3/13 6:08,2008/3/13 6:08
Case11,A9,2008/3/13 6:08,2008/3/13 6:08
Case12,A10,1970/12/3 0:47,1970/12/3 0:47
Case12,A1,2008/7/29 22:39,2008/7/29 22:39
Case12,A2,2008/7/29 22:39,2008/7/29 22:39
Case12,A3,2008/7/29 22:39,2008/7/29 22:39
Case12,A4,2008/7/29 22:40,2008/7/29 22:40
Case12,A5,2008/7/30 13:10,2008/7/30 13:10
Case12,A6,2008/7/30 13:10,2008/7/30 13:10
Case12,A7,2008/8/5 14:14,2008/8/5 14:14
Case12,A8,2008/8/11 5:00,2008/8/11 5:00
Case12,A9,2008/8/11 5:00,2008/8/11 5:00
