case,event,startTime,completeTime
trace_0,t1,2021/7/1 17:37,2021/7/1 17:37
trace_0,t5,2021/7/1 18:37,2021/7/1 18:37
trace_0,t6,2021/7/1 19:37,2021/7/1 19:37
trace_0,t7,2021/7/1 20:37,2021/7/1 20:37
trace_0,t14,2021/7/1 21:37,2021/7/1 21:37
trace_0,t2,2021/7/1 22:37,2021/7/1 22:37
trace_0,t22,2021/7/1 23:37,2021/7/1 23:37
trace_0,t3,2021/7/2 0:37,2021/7/2 0:37
trace_0,t18,2021/7/2 1:37,2021/7/2 1:37
trace_0,t25,2021/7/2 2:37,2021/7/2 2:37
trace_0,t8,2021/7/2 3:37,2021/7/2 3:37
trace_0,t23,2021/7/2 4:37,2021/7/2 4:37
trace_0,t24,2021/7/2 5:37,2021/7/2 5:37
trace_0,t9,2021/7/2 6:37,2021/7/2 6:37
trace_0,t15,2021/7/2 7:37,2021/7/2 7:37
trace_0,t16,2021/7/2 8:37,2021/7/2 8:37
trace_0,t10,2021/7/2 9:37,2021/7/2 9:37
trace_0,t17,2021/7/2 10:37,2021/7/2 10:37
trace_0,t19,2021/7/2 11:37,2021/7/2 11:37
trace_0,t20,2021/7/2 12:37,2021/7/2 12:37
trace_0,t11,2021/7/2 13:37,2021/7/2 13:37
trace_0,t12,2021/7/2 14:37,2021/7/2 14:37
trace_0,t21,2021/7/2 15:37,2021/7/2 15:37
trace_0,t13,2021/7/2 16:37,2021/7/2 16:37
trace_0,t4,2021/7/2 17:37,2021/7/2 17:37
trace_0,t26,2021/7/2 18:37,2021/7/2 18:37
trace_1,t1,2021/7/2 19:37,2021/7/2 19:37
trace_1,t5,2021/7/2 20:37,2021/7/2 20:37
trace_1,t6,2021/7/2 21:37,2021/7/2 21:37
trace_1,t2,2021/7/2 22:37,2021/7/2 22:37
trace_1,t22,2021/7/2 23:37,2021/7/2 23:37
trace_1,t7,2021/7/3 0:37,2021/7/3 0:37
trace_1,t3,2021/7/3 1:37,2021/7/3 1:37
trace_1,t14,2021/7/3 2:37,2021/7/3 2:37
trace_1,t24,2021/7/3 3:37,2021/7/3 3:37
trace_1,t18,2021/7/3 4:37,2021/7/3 4:37
trace_1,t25,2021/7/3 5:37,2021/7/3 5:37
trace_1,t8,2021/7/3 6:37,2021/7/3 6:37
trace_1,t23,2021/7/3 7:37,2021/7/3 7:37
trace_1,t9,2021/7/3 8:37,2021/7/3 8:37
trace_1,t15,2021/7/3 9:37,2021/7/3 9:37
trace_1,t16,2021/7/3 10:37,2021/7/3 10:37
trace_1,t10,2021/7/3 11:37,2021/7/3 11:37
trace_1,t17,2021/7/3 12:37,2021/7/3 12:37
trace_1,t19,2021/7/3 13:37,2021/7/3 13:37
trace_1,t20,2021/7/3 14:37,2021/7/3 14:37
trace_1,t11,2021/7/3 15:37,2021/7/3 15:37
trace_1,t21,2021/7/3 16:37,2021/7/3 16:37
trace_1,t26,2021/7/3 17:37,2021/7/3 17:37
trace_1,t12,2021/7/3 18:37,2021/7/3 18:37
trace_1,t13,2021/7/3 19:37,2021/7/3 19:37
